type,agent,target,median,A,B,C,D,F
counterpicks,Genji,Genji,,,,,,
counterpicks,McCree,Genji,4,15,15,6,2,3
counterpicks,Pharah,Genji,4,3,8,6,4,1
counterpicks,Reaper,Genji,3,0,5,6,4,1
counterpicks,Soldier: 76,Genji,4,0,7,3,1,1
counterpicks,Sombra,Genji,4,1,2,2,0,0
counterpicks,Tracer,Genji,4,2,6,3,1,2
counterpicks,Bastion,Genji,2,4,1,3,7,14
counterpicks,Hanzo,Genji,2,0,1,4,4,3
counterpicks,Junkrat,Genji,3,0,6,4,4,1
counterpicks,Mei,Genji,5,13,4,4,0,0
counterpicks,Torbjorn,Genji,4,4,3,3,4,0
counterpicks,Widowmaker,Genji,3,0,2,4,4,1
counterpicks,D.Va,Genji,3,1,1,6,1,1
counterpicks,Reinhardt,Genji,3,1,4,4,0,2
counterpicks,Roadhog,Genji,5,12,8,2,0,1
counterpicks,Winston,Genji,5,19,2,0,0,0
counterpicks,Zarya,Genji,5,9,6,2,0,0
counterpicks,Ana,Genji,3,1,4,2,2,2
counterpicks,Lucio,Genji,3,1,1,1,3,0
counterpicks,Mercy,Genji,1,2,0,0,4,7
counterpicks,Symmetra,Genji,5,6,2,2,0,1
counterpicks,Zenyatta,Genji,4,7,4,5,2,3
counterpicks,Genji,McCree,4,3,7,3,1,3
counterpicks,McCree,McCree,,,,,,
counterpicks,Pharah,McCree,2,3,2,5,5,9
counterpicks,Reaper,McCree,2,0,1,3,3,2
counterpicks,Soldier: 76,McCree,3,0,3,4,1,0
counterpicks,Sombra,McCree,2,0,0,0,1,0
counterpicks,Tracer,McCree,2,0,0,4,3,5
counterpicks,Bastion,McCree,4,2,4,0,1,1
counterpicks,Hanzo,McCree,4,2,4,1,0,0
counterpicks,Junkrat,McCree,3,0,4,4,1,1
counterpicks,Mei,McCree,4,2,3,2,2,0
counterpicks,Torbjorn,McCree,3,0,3,4,1,0
counterpicks,Widowmaker,McCree,5,4,2,2,0,0
counterpicks,D.Va,McCree,4,3,2,1,1,0
counterpicks,Reinhardt,McCree,3,0,2,1,2,0
counterpicks,Roadhog,McCree,4,4,5,1,0,0
counterpicks,Winston,McCree,3,0,2,3,0,1
counterpicks,Zarya,McCree,3,0,3,3,1,0
counterpicks,Ana,McCree,3,1,1,2,2,0
counterpicks,Lucio,McCree,3,1,0,2,1,2
counterpicks,Mercy,McCree,1,1,1,0,1,4
counterpicks,Symmetra,McCree,2,0,0,2,1,2
counterpicks,Zenyatta,McCree,2,1,1,1,3,1
counterpicks,Genji,Pharah,3,0,4,5,1,1
counterpicks,McCree,Pharah,5,16,2,1,0,0
counterpicks,Pharah,Pharah,,,,,,
counterpicks,Reaper,Pharah,2,0,1,5,5,7
counterpicks,Soldier: 76,Pharah,5,8,3,2,1,0
counterpicks,Sombra,Pharah,4,0,2,1,0,0
counterpicks,Tracer,Pharah,3,0,3,2,3,0
counterpicks,Bastion,Pharah,3,4,1,4,3,0
counterpicks,Hanzo,Pharah,4,1,4,4,1,0
counterpicks,Junkrat,Pharah,1,1,0,0,4,10
counterpicks,Mei,Pharah,2,1,2,2,4,4
counterpicks,Torbjorn,Pharah,3,0,4,3,3,1
